Field=3DR_PARTNO~String~3DR_PARTNO~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Value~String~Value~100|ReportField=Currency~USD|ReportField=ProductionQuantity~5000|ReportField=ProjectFileName~PX4FLOW2.1_X0.PrjPcb|ReportField=ProjectFullPath~F:\Current_Work\00_0_git\Pixhawk_OS_Hardware\PX4-FLOW-2.1X0\PX4FLOW2.1_X0.PrjPcb|ReportField=Title~Bill of Materials For Variant [PX4FLOW2.1_X0] of Project [PX4FLOW2.1_X0.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~77|ReportField=ReportTime~7:22:50 PM|ReportField=ReportDate~10/09/2015|ReportField=ReportDateTime~10/09/2015 7:22:50 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~PX4FLOW2.1_X0|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~10/09/2015|ReportField=CurrentTime~5:40:07 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~F:\Current_Work\00_0_git\Pixhawk_OS_Hardware\PX4-FLOW-2.1X0\PX4FLOW2.1_CAM_X0.SchDoc|ReportField=DocumentName~PX4FLOW2.1_CAM_X0.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Philip Rowse|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~29/08/2015|ReportField=Organization~|ReportField=ProjectName~PX4FLOW2.1_X0.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PX4FLOW2.1_X0.PrjPcb|ReportField=DataSourceFullPath~F:\Current_Work\00_0_git\Pixhawk_OS_Hardware\PX4-FLOW-2.1X0\PX4FLOW2.1_X0.PrjPcb
ECM0837|DIODE-TVS|Diode, TVS, 14VWM, 40VC, 0402, SMD|D104, D108|0402-TVS|DIODE-TVS|TE Connectivity / Raychem|PESD0402-140|2|Mouser|USD|10000|650-PESD0402-140|115854|928.43405|0.09284|
|Inductor|FERRITE BEAD 120 OHM 0402|L2, L11|L0402|Inductor|Taiyo Yuden|BKP1005HS121-TV|2|Digi-Key|USD|10000|587-3954-1-ND|18469|292.38744|0.02924|
|FERRITE BEAD 120 OHM 0402||L8|L0402|Inductor|Taiyo Yuden|BKP1005HS121-TV|1|Digi-Key|USD|5000|587-3954-1-ND|18469|146.19372|0.02924|
ECM0719|Kyocera KNH16C104DA5TS EMI filter|Capacitor, Filter, 0.1uF, 25V, 2A, 0603, SMD|L103, L106|KYOCERA-KNH16-DA|KNH16C104DA5TS|AVX Corp/Kyocera Corp|KNH16C104DA5TS|2|Digi-Key|USD|10000|478-6878-1-ND|253344|873.28229|0.08733|
|GREEN|Green LED|LED1|LED-0603|LED0603|Panasonic Electronic Components|LNJ337W83RA|1|Digi-Key|USD|5000|LNJ337W83RACT-ND|78230|438.99688|0.0878|
|NTGS4111P||Q1|TSOP-6|NTGS4111P|ON Semiconductor|NTGS4111PT1G|1|Digi-Key|USD|5000|NTGS4111PT1GOSCT-ND|15550|684.85868|0.13697|
ECM0803|1K5|RES 1.5K OHM 1/16W 1% 0402 SMD|R1, R2, R3002, R3004|R0402|RESISTOR0402-RES|Yageo|RC0402FR-071K5L|4|Digi-Key|USD|20000|311-1.50KLRCT-ND|1406782|35.19735|0.00176|1K5
|100|ResistorBasic schematic elements and footprints for 0603, 1206, and PTH 1/10th watt (small) resistors.|R3, R4|R0402|RESISTOR0402-RES|Stackpole Electronics Inc.|RMCF0402JT100R|2|Digi-Key|USD|10000|RMCF0402JT100RCT-ND|113945|17.11367|0.00171|
ECM0800|10K|RES 10K OHM 1/16W 1% 0402 SMD|R5, R7, R16, R18|R0402|RESISTOR0402-RES|Yageo|RC0402FR-0710KL|4|Digi-Key|USD|20000|311-10.0KLRCT-ND|8330193|35.19735|0.00176|10K
|22R|ResistorBasic schematic elements and footprints for 0603, 1206, and PTH 1/10th watt (small) resistors.|R6, R8|R0402|RESISTOR0402-RES|Stackpole Electronics Inc.|RMCF0402JT22R0|2|Digi-Key|USD|10000|RMCF0402JT22R0CT-ND|34626|17.11367|0.00171|
|10k|ResistorBasic schematic elements and footprints for 0603, 1206, and PTH 1/10th watt (small) resistors.|R9|R0402|RESISTOR0402-RES|Rohm Semiconductor|MCR01MZPJ271|1|Digi-Key|USD|5000|RHM270JCT-ND|15495|11.91721|0.00238|
